planting_date	restart_date	emergence_date	flowering_date	tuber_init_date	filling_date	peak_LAI_date	maturity_date	harvest_date	peak_LAI	daytime_VPD_avg	yield	used_biomass	grazed_biomass	residue_biomass	disposed_biomass	intercepted_PAR_accum	soil_loss	ET_pot	ET_act	ET_ref	transp_pot	transp_act	evap_soil_pot	evap_soil_act	evap_residue_pot	evap_residue_act	irrig	precip	air_temp_avg	crop_water_intrcpt	residue_water_intrcpt	surface_water_runoff	ponded_water	water_enter_soil	soil_water_drainage	soil_water_profile_init	soil_water_profile_final	produced_biomass	root_depth	root_biomass	surface_residue_BM	surface_plant_residue_BM	surface_manure_BM	incorporated_BM	incorporated_plant_residue_BM	incorporated_manure_BM	erosion_index	avg_water_stress_index	avg_temperature_stress_index	avg_flower_temp_stress_index	N_leached	N_applied	N_auto_uptake	N_available	N_mineralized_residue	N_mineralized_org_fert	N_mineralized_OM	N_immobilization	N_mineralization	N_organic_applied	N_organic_gaseous_loss	N_inorganic_gaseous_loss	N_fixation	N_uptake	N_mass_yield	N_stress_index_avg	N_nitrification	N_denitrification	N_soil_profile_initial	N_soil_profile_final	DegHr_above_30	DegHr_above_34	WUE	Srad	Tmax	Tmin	Tavg	days_to_flowering	duration_season	AW_150cm_init	AW_150cm_final	location	period	cycle
2011-03-25	Date omitted	2011-04-19	2011-06-20	Date omitted	2011-07-07	2011-06-10	2011-08-11	2011-08-12	                      4.316695	                      1.412977	                      0.085960	                      0.000000	                      0.000000	                      0.676077	                      0.000000	                   1291.869629	                      0.000000	                      0.716962	                      0.339848	                      0.650697	                      0.316765	                      0.170392	                      0.270372	                      0.169455	                      0.000000	                      0.000000	                      0.000000	                      0.205989	                     13.493223	                      0.012620	                      0.000000	                      0.000000	                      0.000000	                      0.193369	                      0.000000	                      0.453408	                      0.319549	                      0.762037	                      1.900000	                      0.076204	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.307298	                      0.062288	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.472260	                     22.379820	                     21.625443	                      5.267231	                     13.446338	                     62.000000	                    141.000000	                      0.142257	                      0.007960	45.7284N118.6464W	2010-2011	0
2012-03-26	Date omitted	2012-04-10	2012-06-02	Date omitted	2012-06-24	2012-05-24	2012-07-30	2012-07-31	                      0.223367	                      1.474287	                      0.015781	                      0.000000	                      0.000000	                      0.055080	                      0.000000	                    115.693909	                      0.000000	                      0.619537	                      0.197901	                      0.614469	                      0.025616	                      0.015321	                      0.579204	                      0.182579	                      0.000000	                      0.000000	                      0.000000	                      0.189882	                     14.909020	                      0.002684	                      0.000000	                      0.000000	                      0.000000	                      0.187198	                      0.000000	                      0.356069	                      0.348050	                      0.070862	                      1.723811	                      0.007086	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.274578	                      0.048030	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.625110	                     22.235352	                     23.084778	                      6.628646	                     14.856712	                     53.000000	                    128.000000	                      0.044918	                      0.036879	45.7284N118.6464W	2011-2012	0
2013-03-06	Date omitted	2013-03-28	2013-05-26	Date omitted	2013-06-15	2013-05-05	2013-07-22	2013-07-23	                      0.308511	                      1.549648	                      0.026644	                      0.000000	                      0.000000	                      0.091996	                      0.000000	                    176.191010	                      0.000000	                      0.658683	                      0.164944	                      0.650963	                      0.039040	                      0.026976	                      0.597604	                      0.137968	                      0.000000	                      0.000000	                      0.000000	                      0.140469	                     14.201247	                      0.003281	                      0.000000	                      0.000000	                      0.000000	                      0.137189	                      0.000000	                      0.372550	                      0.348007	                      0.118639	                      1.796963	                      0.011864	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.202749	                      0.091435	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.398025	                     21.232199	                     22.105524	                      6.161312	                     14.133418	                     59.000000	                    140.000000	                      0.061399	                      0.036787	45.7284N118.6464W	2012-2013	0
2014-03-08	Date omitted	2014-03-29	2014-05-29	Date omitted	2014-06-15	2014-05-12	2014-07-22	2014-07-23	                      2.066779	                      1.656646	                      0.048557	                      0.000000	                      0.000000	                      0.274435	                      0.000000	                    878.939941	                      0.000000	                      0.733584	                      0.220929	                      0.682837	                      0.216622	                      0.072987	                      0.395629	                      0.147942	                      0.000000	                      0.000000	                      0.000000	                      0.165463	                     13.969407	                      0.009590	                      0.000000	                      0.000000	                      0.000000	                      0.155873	                      0.000000	                      0.371449	                      0.315358	                      0.322992	                      1.815750	                      0.032299	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.421716	                      0.052503	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.425354	                     21.944464	                     22.643286	                      5.239444	                     13.941364	                     61.000000	                    138.000000	                      0.060298	                      0.004197	45.7284N118.6464W	2013-2014	0
2015-02-06	Date omitted	2015-02-24	2015-05-11	Date omitted	2015-05-30	2015-04-30	2015-07-06	2015-07-07	                      1.376189	                      1.480302	                      0.057157	                      0.000000	                      0.000000	                      0.308353	                      0.000000	                    591.399475	                      0.000000	                      0.677743	                      0.191574	                      0.646063	                      0.134084	                      0.079947	                      0.449017	                      0.111627	                      0.000000	                      0.000000	                      0.000000	                      0.126111	                     13.466158	                      0.007906	                      0.000000	                      0.000000	                      0.000000	                      0.118205	                      0.000000	                      0.391980	                      0.326516	                      0.365510	                      1.900000	                      0.036551	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.233485	                      0.125867	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.571902	                     19.584318	                     21.362228	                      5.568942	                     13.465584	                     76.000000	                    152.000000	                      0.080829	                      0.015092	45.7284N118.6464W	2014-2015	0
2016-02-11	Date omitted	2016-03-01	2016-05-08	Date omitted	2016-05-31	2016-04-30	2016-07-08	2016-07-09	                      2.298631	                      1.284845	                      0.070984	                      0.000000	                      0.000000	                      0.371174	                      0.000000	                    861.155396	                      0.000000	                      0.665998	                      0.243226	                      0.617443	                      0.207219	                      0.093309	                      0.350601	                      0.149917	                      0.000000	                      0.000000	                      0.000000	                      0.192701	                     12.532343	                      0.015329	                      0.000000	                      0.000000	                      0.000000	                      0.177372	                      0.000000	                      0.387038	                      0.335846	                      0.442158	                      1.900000	                      0.044216	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.314378	                      0.125340	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.738662	                     18.954231	                     20.594036	                      4.402484	                     12.498260	                     68.000000	                    150.000000	                      0.075887	                      0.024434	45.7284N118.6464W	2015-2016	0
2011-05-04	Date omitted	2011-05-17	2011-07-06	Date omitted	2011-07-24	2011-06-28	2011-08-28	2011-08-29	                      3.777956	                      1.518171	                      0.064972	                      0.000000	                      0.000000	                      0.649281	                      0.000000	                   1215.539062	                      0.000000	                      0.738283	                      0.227557	                      0.668425	                      0.316052	                      0.172135	                      0.286535	                      0.055422	                      0.000000	                      0.000000	                      0.000000	                      0.077550	                     15.391391	                      0.006141	                      0.000000	                      0.000000	                      0.000000	                      0.071410	                      0.006523	                      0.254731	                      0.097480	                      0.714253	                      0.970000	                      0.071425	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.338065	                      0.020392	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.149379	                     26.316803	                     23.059057	                      7.620626	                     15.339842	                     50.000000	                    118.000000	                      0.221497	                      0.014502	45.9784N120.1879W	2010-2011	0
2012-04-12	Date omitted	2012-04-23	2012-06-23	Date omitted	2012-07-12	2012-06-14	2012-08-16	2012-08-17	                      4.622547	                      1.501459	                      0.053918	                      0.000000	                      0.000000	                      0.661603	                      0.000000	                   1449.979858	                      0.000000	                      0.797468	                      0.204286	                      0.720037	                      0.382638	                      0.144711	                      0.265530	                      0.059575	                      0.000000	                      0.000000	                      0.000000	                      0.082764	                     15.296157	                      0.011671	                      0.000000	                      0.000000	                      0.000000	                      0.071092	                      0.000000	                      0.215386	                      0.093863	                      0.715522	                      0.970000	                      0.071552	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.382684	                      0.086474	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.944479	                     25.454590	                     22.739319	                      7.725187	                     15.232253	                     61.000000	                    128.000000	                      0.121881	                      0.001568	45.9784N120.1879W	2011-2012	0
2013-03-27	Date omitted	2013-04-08	2013-06-10	Date omitted	2013-06-30	2013-06-02	2013-08-04	2013-08-05	                      3.869680	                      1.519870	                      0.045314	                      0.000000	                      0.000000	                      0.536943	                      0.000000	                   1346.029297	                      0.000000	                      0.811280	                      0.199039	                      0.734409	                      0.355999	                      0.122695	                      0.308136	                      0.076344	                      0.000000	                      0.000000	                      0.000000	                      0.109810	                     14.586888	                      0.013674	                      0.000000	                      0.000000	                      0.000000	                      0.096136	                      0.000000	                      0.183794	                      0.094565	                      0.582257	                      0.970000	                      0.058226	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.393213	                      0.125039	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.745556	                     24.885416	                     21.976770	                      7.118320	                     14.547544	                     63.000000	                    132.000000	                      0.090289	                      0.001837	45.9784N120.1879W	2012-2013	0
2014-04-03	Date omitted	2014-04-17	2014-06-11	Date omitted	2014-07-01	2014-05-29	2014-08-08	2014-08-09	                      3.007627	                      1.566479	                      0.033101	                      0.000000	                      0.000000	                      0.412652	                      0.000000	                   1211.119507	                      0.000000	                      0.844523	                      0.142915	                      0.762196	                      0.321282	                      0.097682	                      0.355774	                      0.045233	                      0.000000	                      0.000000	                      0.000000	                      0.045802	                     15.637169	                      0.004709	                      0.000000	                      0.000000	                      0.000000	                      0.041093	                      0.000000	                      0.190595	                      0.093482	                      0.445753	                      0.970000	                      0.044575	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.451962	                      0.064333	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.563292	                     26.001150	                     22.070646	                      9.052978	                     15.561811	                     55.000000	                    129.000000	                      0.097090	                      0.000493	45.9784N120.1879W	2013-2014	0
