planting_date	restart_date	emergence_date	flowering_date	tuber_init_date	filling_date	peak_LAI_date	maturity_date	harvest_date	peak_LAI	daytime_VPD_avg	yield	used_biomass	grazed_biomass	residue_biomass	disposed_biomass	intercepted_PAR_accum	soil_loss	ET_pot	ET_act	ET_ref	transp_pot	transp_act	evap_soil_pot	evap_soil_act	evap_residue_pot	evap_residue_act	irrig	precip	air_temp_avg	crop_water_intrcpt	residue_water_intrcpt	surface_water_runoff	ponded_water	water_enter_soil	soil_water_drainage	soil_water_profile_init	soil_water_profile_final	produced_biomass	root_depth	root_biomass	surface_residue_BM	surface_plant_residue_BM	surface_manure_BM	incorporated_BM	incorporated_plant_residue_BM	incorporated_manure_BM	erosion_index	avg_water_stress_index	avg_temperature_stress_index	avg_flower_temp_stress_index	N_leached	N_applied	N_auto_uptake	N_available	N_mineralized_residue	N_mineralized_org_fert	N_mineralized_OM	N_immobilization	N_mineralization	N_organic_applied	N_organic_gaseous_loss	N_inorganic_gaseous_loss	N_fixation	N_uptake	N_mass_yield	N_stress_index_avg	N_nitrification	N_denitrification	N_soil_profile_initial	N_soil_profile_final	DegHr_above_30	DegHr_above_34	WUE	Srad	Tmax	Tmin	Tavg	days_to_flowering	duration_season	AW_150cm_init	AW_150cm_final	location	period	cycle
2011-03-25	Date omitted	2011-04-19	2011-06-20	Date omitted	2011-07-07	2011-06-10	2011-08-11	2011-08-12	                      4.558108	                      1.412977	                      0.088488	                      0.000000	                      0.000000	                      0.718232	                      0.000000	                   1331.786377	                      0.000000	                      0.717498	                      0.340374	                      0.650697	                      0.326488	                      0.172584	                      0.261104	                      0.167790	                      0.000000	                      0.000000	                      0.000000	                      0.205989	                     13.493223	                      0.013106	                      0.000000	                      0.000000	                      0.000000	                      0.192884	                      0.000000	                      0.453408	                      0.319023	                      0.806720	                      1.900000	                      0.080672	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.312811	                      0.068236	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.674359	                     22.379820	                     21.625443	                      5.267231	                     13.446338	                     62.000000	                    141.000000	                      0.142257	                      0.007442	45.7284N118.6464W	2010-2011	0
2012-03-26	Date omitted	2012-04-10	2012-06-02	Date omitted	2012-06-23	2012-05-24	2012-07-30	2012-07-31	                      0.253789	                      1.474287	                      0.019113	                      0.000000	                      0.000000	                      0.062608	                      0.000000	                    130.716217	                      0.000000	                      0.620220	                      0.199057	                      0.614469	                      0.028990	                      0.016984	                      0.574524	                      0.182073	                      0.000000	                      0.000000	                      0.000000	                      0.189882	                     14.909020	                      0.003035	                      0.000000	                      0.000000	                      0.000000	                      0.186847	                      0.000000	                      0.356069	                      0.346894	                      0.081721	                      1.723051	                      0.008172	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.281360	                      0.053474	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.811561	                     22.235352	                     23.084778	                      6.628646	                     14.856712	                     53.000000	                    128.000000	                      0.044918	                      0.035721	45.7284N118.6464W	2011-2012	0
2013-03-06	Date omitted	2013-03-28	2013-05-26	Date omitted	2013-06-15	2013-05-05	2013-07-22	2013-07-23	                      0.348743	                      1.549648	                      0.031368	                      0.000000	                      0.000000	                      0.106191	                      0.000000	                    198.014374	                      0.000000	                      0.659681	                      0.167616	                      0.650963	                      0.043969	                      0.030058	                      0.590877	                      0.137558	                      0.000000	                      0.000000	                      0.000000	                      0.140469	                     14.201247	                      0.003688	                      0.000000	                      0.000000	                      0.000000	                      0.136781	                      0.000000	                      0.372550	                      0.345327	                      0.137559	                      1.794735	                      0.013756	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.207220	                      0.091435	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.576468	                     21.232199	                     22.105524	                      6.161312	                     14.133418	                     59.000000	                    140.000000	                      0.061399	                      0.034101	45.7284N118.6464W	2012-2013	0
2014-03-08	Date omitted	2014-03-29	2014-05-29	Date omitted	2014-06-15	2014-05-12	2014-07-22	2014-07-23	                      2.294491	                      1.656646	                      0.051064	                      0.000000	                      0.000000	                      0.293961	                      0.000000	                    947.591064	                      0.000000	                      0.739255	                      0.221165	                      0.682837	                      0.235904	                      0.074443	                      0.373839	                      0.146723	                      0.000000	                      0.000000	                      0.000000	                      0.165463	                     13.969407	                      0.010319	                      0.000000	                      0.000000	                      0.000000	                      0.155144	                      0.000000	                      0.371449	                      0.315079	                      0.345025	                      1.805841	                      0.034502	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.434078	                      0.060367	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.634765	                     21.944464	                     22.643286	                      5.239444	                     13.941364	                     61.000000	                    138.000000	                      0.060298	                      0.003928	45.7284N118.6464W	2013-2014	0
2015-02-06	Date omitted	2015-02-24	2015-05-11	Date omitted	2015-05-30	2015-04-30	2015-07-06	2015-07-07	                      1.501355	                      1.480302	                      0.058679	                      0.000000	                      0.000000	                      0.336565	                      0.000000	                    636.925903	                      0.000000	                      0.680675	                      0.193642	                      0.646063	                      0.145183	                      0.082680	                      0.434145	                      0.110962	                      0.000000	                      0.000000	                      0.000000	                      0.126111	                     13.466158	                      0.008493	                      0.000000	                      0.000000	                      0.000000	                      0.117617	                      0.000000	                      0.391980	                      0.324448	                      0.395244	                      1.900000	                      0.039524	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.246480	                      0.130492	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.780403	                     19.584318	                     21.362228	                      5.568942	                     13.465584	                     76.000000	                    152.000000	                      0.080829	                      0.013027	45.7284N118.6464W	2014-2015	0
2016-02-11	Date omitted	2016-03-01	2016-05-08	Date omitted	2016-05-31	2016-04-30	2016-07-08	2016-07-09	                      2.458576	                      1.284845	                      0.075041	                      0.000000	                      0.000000	                      0.393410	                      0.000000	                    894.863098	                      0.000000	                      0.669521	                      0.243260	                      0.617443	                      0.216466	                      0.095027	                      0.337705	                      0.148233	                      0.000000	                      0.000000	                      0.000000	                      0.192701	                     12.532343	                      0.015951	                      0.000000	                      0.000000	                      0.000000	                      0.176750	                      0.000000	                      0.387038	                      0.335784	                      0.468451	                      1.900000	                      0.046845	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.322417	                      0.127989	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.929653	                     18.954231	                     20.594036	                      4.402484	                     12.498260	                     68.000000	                    150.000000	                      0.075887	                      0.024385	45.7284N118.6464W	2015-2016	0
2011-05-04	Date omitted	2011-05-17	2011-07-06	Date omitted	2011-07-24	2011-06-28	2011-08-28	2011-08-29	                      4.047497	                      1.518171	                      0.065120	                      0.000000	                      0.000000	                      0.682631	                      0.000000	                   1266.826660	                      0.000000	                      0.738983	                      0.228135	                      0.668425	                      0.329352	                      0.172910	                      0.272909	                      0.055225	                      0.000000	                      0.000000	                      0.000000	                      0.077550	                     15.391391	                      0.006308	                      0.000000	                      0.000000	                      0.000000	                      0.071243	                      0.006523	                      0.254731	                      0.096902	                      0.747751	                      0.970000	                      0.074775	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.349809	                      0.020392	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.324509	                     26.316803	                     23.059057	                      7.620626	                     15.339842	                     50.000000	                    118.000000	                      0.221497	                      0.013224	45.9784N120.1879W	2010-2011	0
2012-04-12	Date omitted	2012-04-23	2012-06-23	Date omitted	2012-07-12	2012-06-14	2012-08-16	2012-08-17	                      4.796152	                      1.501459	                      0.056084	                      0.000000	                      0.000000	                      0.694838	                      0.000000	                   1482.988281	                      0.000000	                      0.797971	                      0.204376	                      0.720037	                      0.391032	                      0.145464	                      0.257929	                      0.058913	                      0.000000	                      0.000000	                      0.000000	                      0.082764	                     15.296157	                      0.011973	                      0.000000	                      0.000000	                      0.000000	                      0.070790	                      0.000000	                      0.215386	                      0.093773	                      0.750922	                      0.970000	                      0.075092	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.387286	                      0.091694	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      5.162267	                     25.454590	                     22.739319	                      7.725187	                     15.232253	                     61.000000	                    128.000000	                      0.121881	                      0.001452	45.9784N120.1879W	2011-2012	0
2013-03-27	Date omitted	2013-04-08	2013-06-10	Date omitted	2013-06-30	2013-06-02	2013-08-04	2013-08-05	                      4.053161	                      1.519870	                      0.048141	                      0.000000	                      0.000000	                      0.567423	                      0.000000	                   1385.090454	                      0.000000	                      0.811784	                      0.198986	                      0.734409	                      0.366176	                      0.124499	                      0.298047	                      0.074487	                      0.000000	                      0.000000	                      0.000000	                      0.109810	                     14.586888	                      0.014150	                      0.000000	                      0.000000	                      0.000000	                      0.095660	                      0.000000	                      0.183794	                      0.094617	                      0.615564	                      0.970000	                      0.061556	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.396365	                      0.125039	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.944317	                     24.885416	                     21.976770	                      7.118320	                     14.547544	                     63.000000	                    132.000000	                      0.090289	                      0.001866	45.9784N120.1879W	2012-2013	0
2014-04-03	Date omitted	2014-04-17	2014-06-11	Date omitted	2014-06-30	2014-05-29	2014-08-08	2014-08-09	                      3.194858	                      1.566479	                      0.034773	                      0.000000	                      0.000000	                      0.431422	                      0.000000	                   1260.830078	                      0.000000	                      0.845067	                      0.143145	                      0.762196	                      0.334616	                      0.098066	                      0.340224	                      0.045079	                      0.000000	                      0.000000	                      0.000000	                      0.045802	                     15.637169	                      0.004843	                      0.000000	                      0.000000	                      0.000000	                      0.040959	                      0.000000	                      0.190595	                      0.093252	                      0.466195	                      0.970000	                      0.046619	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.459572	                      0.067590	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.753892	                     26.001150	                     22.070646	                      9.052978	                     15.561811	                     55.000000	                    129.000000	                      0.097090	                      0.000212	45.9784N120.1879W	2013-2014	0
