planting_date	restart_date	emergence_date	flowering_date	tuber_init_date	filling_date	peak_LAI_date	maturity_date	harvest_date	peak_LAI	daytime_VPD_avg	yield	used_biomass	grazed_biomass	residue_biomass	disposed_biomass	intercepted_PAR_accum	soil_loss	ET_pot	ET_act	ET_ref	transp_pot	transp_act	evap_soil_pot	evap_soil_act	evap_residue_pot	evap_residue_act	irrig	precip	air_temp_avg	crop_water_intrcpt	residue_water_intrcpt	surface_water_runoff	ponded_water	water_enter_soil	soil_water_drainage	soil_water_profile_init	soil_water_profile_final	produced_biomass	root_depth	root_biomass	surface_residue_BM	surface_plant_residue_BM	surface_manure_BM	incorporated_BM	incorporated_plant_residue_BM	incorporated_manure_BM	erosion_index	avg_water_stress_index	avg_temperature_stress_index	avg_flower_temp_stress_index	N_leached	N_applied	N_auto_uptake	N_available	N_mineralized_residue	N_mineralized_org_fert	N_mineralized_OM	N_immobilization	N_mineralization	N_organic_applied	N_organic_gaseous_loss	N_inorganic_gaseous_loss	N_fixation	N_uptake	N_mass_yield	N_stress_index_avg	N_nitrification	N_denitrification	N_soil_profile_initial	N_soil_profile_final	DegHr_above_30	DegHr_above_34	WUE	Srad	Tmax	Tmin	Tavg	days_to_flowering	duration_season	AW_150cm_init	AW_150cm_final	location	period	cycle
2011-05-03	Date omitted	2011-05-20	2011-06-18	Date omitted	2011-06-22	2011-06-20	2011-08-06	2011-08-07	                      1.595055	                      1.594821	                      0.225905	                      0.000000	                      0.000000	                      0.239739	                      0.000000	                    629.424011	                      0.000000	                      0.515337	                      0.226056	                      0.507248	                      0.141995	                      0.117335	                      0.343546	                      0.108721	                      0.000000	                      0.000000	                      0.000000	                      0.122666	                     15.979297	                      0.004977	                      0.000000	                      0.000000	                      0.000000	                      0.117689	                      0.000000	                      0.457978	                      0.354588	                      0.465644	                      1.000000	                      0.046564	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.175140	                      0.048231	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      3.968500	                     24.806419	                     24.567736	                      7.251454	                     15.909595	                     29.000000	                     97.000000	                      0.146827	                      0.043437	45.7284N118.6464W	2010-2011	0
2012-04-12	Date omitted	2012-04-29	2012-05-29	Date omitted	2012-06-02	2012-05-31	2012-07-23	2012-07-24	                      0.898110	                      1.502110	                      0.112041	                      0.000000	                      0.000000	                      0.120900	                      0.000000	                    413.035461	                      0.000000	                      0.520367	                      0.188336	                      0.515480	                      0.093725	                      0.051274	                      0.407662	                      0.137061	                      0.000000	                      0.000000	                      0.000000	                      0.157980	                     15.492545	                      0.008816	                      0.000000	                      0.000000	                      0.000000	                      0.149164	                      0.000000	                      0.349224	                      0.318868	                      0.232940	                      1.000000	                      0.023294	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.314746	                      0.096650	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.543015	                     23.071363	                     23.731670	                      7.132546	                     15.432108	                     30.000000	                    104.000000	                      0.038073	                      0.007717	45.7284N118.6464W	2011-2012	0
2013-03-27	Date omitted	2013-04-21	2013-05-16	Date omitted	2013-05-22	2013-05-19	2013-07-14	2013-07-15	                      1.019691	                      1.623657	                      0.134462	                      0.000000	                      0.000000	                      0.142824	                      0.000000	                    452.675079	                      0.000000	                      0.540204	                      0.175359	                      0.534653	                      0.101049	                      0.062086	                      0.413803	                      0.113272	                      0.000000	                      0.000000	                      0.000000	                      0.123903	                     14.843198	                      0.008759	                      0.000000	                      0.000000	                      0.000000	                      0.115143	                      0.000000	                      0.371329	                      0.319598	                      0.277286	                      1.000000	                      0.027729	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.286476	                      0.078005	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.466149	                     22.470440	                     22.897100	                      6.713538	                     14.805319	                     25.000000	                    111.000000	                      0.060178	                      0.008447	45.7284N118.6464W	2012-2013	0
2014-04-04	Date omitted	2014-04-28	2014-05-25	Date omitted	2014-05-30	2014-05-27	2014-07-16	2014-07-17	                      1.248495	                      1.888319	                      0.115755	                      0.000000	                      0.000000	                      0.129633	                      0.000000	                    521.317383	                      0.000000	                      0.569835	                      0.162887	                      0.562870	                      0.123272	                      0.059917	                      0.415432	                      0.102970	                      0.000000	                      0.000000	                      0.000000	                      0.102500	                     15.331911	                      0.004384	                      0.000000	                      0.000000	                      0.000000	                      0.098116	                      0.000000	                      0.376742	                      0.316356	                      0.245388	                      1.000000	                      0.024539	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.384921	                      0.043686	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.095498	                     23.660044	                     24.285044	                      6.227632	                     15.256338	                     27.000000	                    105.000000	                      0.065591	                      0.005205	45.7284N118.6464W	2013-2014	0
2015-03-10	Date omitted	2015-03-29	2015-05-08	Date omitted	2015-05-14	2015-05-10	2015-06-28	2015-06-29	                      1.792309	                      1.538765	                      0.184587	                      0.000000	                      0.000000	                      0.204884	                      0.000000	                    689.080688	                      0.000000	                      0.527871	                      0.175729	                      0.518654	                      0.154484	                      0.087174	                      0.335908	                      0.088555	                      0.000000	                      0.000000	                      0.000000	                      0.106128	                     14.492987	                      0.008606	                      0.000000	                      0.000000	                      0.000000	                      0.097522	                      0.000000	                      0.385725	                      0.316124	                      0.389470	                      1.000000	                      0.038947	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.295392	                      0.126208	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.467748	                     21.803188	                     22.488491	                      6.454736	                     14.471613	                     40.000000	                    112.000000	                      0.074574	                      0.004973	45.7284N118.6464W	2014-2015	0
2016-03-31	Date omitted	2016-04-18	2016-05-13	Date omitted	2016-05-18	2016-05-15	2016-07-12	2016-07-13	                      0.956745	                      1.540803	                      0.149014	                      0.000000	                      0.000000	                      0.156667	                      0.000000	                    440.401855	                      0.000000	                      0.531055	                      0.171169	                      0.525792	                      0.098901	                      0.072186	                      0.410392	                      0.098984	                      0.000000	                      0.000000	                      0.000000	                      0.115320	                     15.155129	                      0.007571	                      0.000000	                      0.000000	                      0.000000	                      0.107749	                      0.000000	                      0.387469	                      0.331483	                      0.305681	                      1.000000	                      0.030568	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.178193	                      0.059533	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.234649	                     23.150520	                     23.994122	                      6.226191	                     15.110156	                     25.000000	                    105.000000	                      0.076318	                      0.020332	45.7284N118.6464W	2015-2016	0
2011-05-10	Date omitted	2011-06-02	2011-06-27	Date omitted	2011-07-02	2011-06-29	2011-08-19	2011-08-20	                      1.672743	                      1.547328	                      0.237179	                      0.000000	                      0.000000	                      0.254411	                      0.000000	                    690.063599	                      0.000000	                      0.593341	                      0.177148	                      0.583830	                      0.160006	                      0.119240	                      0.393434	                      0.057908	                      0.000000	                      0.000000	                      0.000000	                      0.073891	                     15.184440	                      0.003361	                      0.000000	                      0.000000	                      0.000000	                      0.070530	                      0.006263	                      0.255290	                      0.145770	                      0.491589	                      0.970000	                      0.049159	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.263533	                      0.011909	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.122684	                     26.900106	                     22.903141	                      7.393135	                     15.148138	                     25.000000	                    103.000000	                      0.222056	                      0.138857	45.9784N120.1879W	2010-2011	0
2012-04-15	Date omitted	2012-05-10	2012-06-11	Date omitted	2012-06-16	2012-06-13	2012-08-03	2012-08-04	                      2.213233	                      1.467323	                      0.269763	                      0.000000	                      0.000000	                      0.295272	                      0.000000	                    889.855713	                      0.000000	                      0.622239	                      0.187157	                      0.609246	                      0.208110	                      0.124891	                      0.366998	                      0.062266	                      0.000000	                      0.000000	                      0.000000	                      0.079922	                     14.507739	                      0.008117	                      0.000000	                      0.000000	                      0.000000	                      0.071805	                      0.000000	                      0.215100	                      0.107864	                      0.565036	                      0.970000	                      0.056504	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.296044	                      0.082988	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.524219	                     25.489119	                     21.802664	                      7.084030	                     14.443347	                     32.000000	                    112.000000	                      0.121595	                      0.015138	45.9784N120.1879W	2011-2012	0
2013-04-26	Date omitted	2013-05-10	2013-06-09	Date omitted	2013-06-14	2013-06-11	2013-07-29	2013-07-30	                      1.875061	                      1.666982	                      0.194087	                      0.000000	                      0.000000	                      0.215175	                      0.000000	                    747.536377	                      0.000000	                      0.610185	                      0.166721	                      0.599063	                      0.184623	                      0.095887	                      0.381753	                      0.070834	                      0.000000	                      0.000000	                      0.000000	                      0.084268	                     16.324705	                      0.006383	                      0.000000	                      0.000000	                      0.000000	                      0.077885	                      0.000000	                      0.183252	                      0.100798	                      0.409262	                      0.970000	                      0.040926	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.340351	                      0.086140	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.268178	                     26.894205	                     24.138754	                      8.444809	                     16.291780	                     30.000000	                     96.000000	                      0.089747	                      0.007784	45.9784N120.1879W	2012-2013	0
2014-04-27	Date omitted	2014-05-15	2014-06-08	Date omitted	2014-06-13	2014-06-10	2014-07-30	2014-07-31	                      1.639029	                      1.691812	                      0.180152	                      0.000000	                      0.000000	                      0.197148	                      0.000000	                    687.932129	                      0.000000	                      0.613844	                      0.109583	                      0.603942	                      0.170178	                      0.086801	                      0.404970	                      0.022782	                      0.000000	                      0.000000	                      0.000000	                      0.021343	                     16.851637	                      0.003188	                      0.000000	                      0.000000	                      0.000000	                      0.018155	                      0.000000	                      0.191302	                      0.103063	                      0.377300	                      0.970000	                      0.037730	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.370702	                      0.029259	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.346719	                     27.385986	                     23.462646	                      9.979802	                     16.721224	                     24.000000	                     96.000000	                      0.097798	                      0.009961	45.9784N120.1879W	2013-2014	0
