planting_date	restart_date	emergence_date	flowering_date	tuber_init_date	filling_date	peak_LAI_date	maturity_date	harvest_date	peak_LAI	daytime_VPD_avg	yield	used_biomass	grazed_biomass	residue_biomass	disposed_biomass	intercepted_PAR_accum	soil_loss	ET_pot	ET_act	ET_ref	transp_pot	transp_act	evap_soil_pot	evap_soil_act	evap_residue_pot	evap_residue_act	irrig	precip	air_temp_avg	crop_water_intrcpt	residue_water_intrcpt	surface_water_runoff	ponded_water	water_enter_soil	soil_water_drainage	soil_water_profile_init	soil_water_profile_final	produced_biomass	root_depth	root_biomass	surface_residue_BM	surface_plant_residue_BM	surface_manure_BM	incorporated_BM	incorporated_plant_residue_BM	incorporated_manure_BM	erosion_index	avg_water_stress_index	avg_temperature_stress_index	avg_flower_temp_stress_index	N_leached	N_applied	N_auto_uptake	N_available	N_mineralized_residue	N_mineralized_org_fert	N_mineralized_OM	N_immobilization	N_mineralization	N_organic_applied	N_organic_gaseous_loss	N_inorganic_gaseous_loss	N_fixation	N_uptake	N_mass_yield	N_stress_index_avg	N_nitrification	N_denitrification	N_soil_profile_initial	N_soil_profile_final	DegHr_above_30	DegHr_above_34	WUE	Srad	Tmax	Tmin	Tavg	days_to_flowering	duration_season	AW_150cm_init	AW_150cm_final	location	period	cycle
2011-03-25	Date omitted	2011-04-13	2011-07-04	Date omitted	2011-07-11	2011-06-19	2011-08-14	2011-08-15	                      5.592491	                      1.388262	                      0.314081	                      0.000000	                      0.000000	                      0.527406	                      0.000000	                   1875.606445	                      0.000000	                      0.719977	                      0.340880	                      0.668848	                      0.442864	                      0.193440	                      0.216050	                      0.147440	                      0.000000	                      0.000000	                      0.000000	                      0.205989	                     13.586569	                      0.018886	                      0.000000	                      0.000000	                      0.000000	                      0.187103	                      0.000000	                      0.453408	                      0.318517	                      0.841487	                      1.699359	                      0.128192	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.389669	                      0.036800	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.350128	                     22.401529	                     21.763237	                      5.316786	                     13.540012	                     82.000000	                    144.000000	                      0.142257	                      0.007361	45.7284N118.6464W	2010-2011	0
2012-03-26	Date omitted	2012-04-08	2012-06-21	Date omitted	2012-06-29	2012-05-24	2012-07-29	2012-07-30	                      1.646276	                      1.462501	                      0.116438	                      0.000000	                      0.000000	                      0.178752	                      0.000000	                    880.272034	                      0.000000	                      0.632195	                      0.229325	                      0.607928	                      0.204058	                      0.066221	                      0.392180	                      0.163104	                      0.000000	                      0.000000	                      0.000000	                      0.189882	                     14.865980	                      0.015162	                      0.000000	                      0.000000	                      0.000000	                      0.174719	                      0.000000	                      0.356069	                      0.316626	                      0.295190	                      1.496730	                      0.042467	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.499508	                      0.013644	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.457666	                     22.200787	                     23.019131	                      6.608067	                     14.813600	                     74.000000	                    127.000000	                      0.044918	                      0.005475	45.7284N118.6464W	2011-2012	0
2013-03-06	Date omitted	2013-03-19	2013-06-11	Date omitted	2013-06-19	2013-05-04	2013-07-20	2013-07-21	                      2.096260	                      1.447112	                      0.139596	                      0.000000	                      0.000000	                      0.215766	                      0.000000	                   1126.411621	                      0.000000	                      0.666817	                      0.197029	                      0.633568	                      0.265473	                      0.082996	                      0.354949	                      0.114034	                      0.000000	                      0.000000	                      0.000000	                      0.140469	                     14.028005	                      0.016396	                      0.000000	                      0.000000	                      0.000000	                      0.124073	                      0.000000	                      0.372550	                      0.315990	                      0.355362	                      1.470402	                      0.071108	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.477263	                      0.062839	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.281697	                     21.139662	                     21.886946	                      6.033951	                     13.960447	                     84.000000	                    138.000000	                      0.061399	                      0.004839	45.7284N118.6464W	2012-2013	0
2014-03-08	Date omitted	2014-03-24	2014-06-13	Date omitted	2014-06-22	2014-05-11	2014-07-21	2014-07-22	                      3.383897	                      1.605311	                      0.141680	                      0.000000	                      0.000000	                      0.233080	                      0.000000	                   1516.085938	                      0.000000	                      0.728743	                      0.218930	                      0.677150	                      0.381511	                      0.083181	                      0.285527	                      0.135749	                      0.000000	                      0.000000	                      0.000000	                      0.161994	                     13.943274	                      0.015405	                      0.000000	                      0.000000	                      0.000000	                      0.146589	                      0.000000	                      0.371449	                      0.313806	                      0.374760	                      1.263762	                      0.116554	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.540102	                      0.025115	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.505371	                     21.934591	                     22.604870	                      5.225567	                     13.915218	                     81.000000	                    137.000000	                      0.060298	                      0.002655	45.7284N118.6464W	2013-2014	0
2015-02-06	Date omitted	2015-02-14	2015-05-28	Date omitted	2015-06-04	2015-04-26	2015-07-03	2015-07-04	                      3.551014	                      1.369518	                      0.175611	                      0.000000	                      0.000000	                      0.313056	                      0.000000	                   1554.465454	                      0.000000	                      0.667967	                      0.204822	                      0.619198	                      0.365503	                      0.104802	                      0.244886	                      0.100019	                      0.000000	                      0.000000	                      0.000000	                      0.126111	                     13.205548	                      0.017729	                      0.000000	                      0.000000	                      0.000000	                      0.108382	                      0.000000	                      0.391980	                      0.313269	                      0.488667	                      1.511743	                      0.093572	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.419883	                      0.101213	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.662750	                     19.410366	                     21.060167	                      5.353258	                     13.206712	                    103.000000	                    149.000000	                      0.080829	                      0.002118	45.7284N118.6464W	2014-2015	0
2016-02-11	Date omitted	2016-02-26	2016-05-30	Date omitted	2016-06-05	2016-05-16	2016-07-15	2016-07-16	                      3.250756	                      1.287764	                      0.202603	                      0.000000	                      0.000000	                      0.287597	                      0.000000	                   1499.950684	                      0.000000	                      0.708203	                      0.262260	                      0.658634	                      0.356455	                      0.110764	                      0.286349	                      0.151496	                      0.000000	                      0.000000	                      0.000000	                      0.194998	                     12.803679	                      0.023666	                      0.000000	                      0.000000	                      0.000000	                      0.171332	                      0.000000	                      0.387038	                      0.319777	                      0.490200	                      1.504552	                      0.070905	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.440492	                      0.056228	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.425637	                     19.237274	                     20.911400	                      4.627374	                     12.769386	                     94.000000	                    157.000000	                      0.075887	                      0.008626	45.7284N118.6464W	2015-2016	0
2011-05-04	Date omitted	2011-05-13	2011-07-21	Date omitted	2011-07-28	2011-06-30	2011-08-30	2011-08-31	                      3.686575	                      1.479046	                      0.258096	                      0.000000	                      0.000000	                      0.424577	                      0.000000	                   1622.183838	                      0.000000	                      0.731753	                      0.222836	                      0.678658	                      0.404949	                      0.168996	                      0.267577	                      0.053840	                      0.000000	                      0.000000	                      0.000000	                      0.077550	                     15.362064	                      0.007769	                      0.000000	                      0.000000	                      0.000000	                      0.069782	                      0.006489	                      0.254731	                      0.102957	                      0.682673	                      0.970000	                      0.104064	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.454865	                      0.002971	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.039581	                     26.255924	                     23.039324	                      7.583916	                     15.311619	                     69.000000	                    120.000000	                      0.221497	                      0.034863	45.9784N120.1879W	2010-2011	0
2012-04-12	Date omitted	2012-04-22	2012-07-08	Date omitted	2012-07-14	2012-06-13	2012-08-14	2012-08-15	                      4.336744	                      1.475164	                      0.248626	                      0.000000	                      0.000000	                      0.436223	                      0.000000	                   1741.808960	                      0.000000	                      0.759525	                      0.201794	                      0.704907	                      0.439785	                      0.144570	                      0.253351	                      0.057224	                      0.000000	                      0.000000	                      0.000000	                      0.082764	                     15.126270	                      0.013274	                      0.000000	                      0.000000	                      0.000000	                      0.069490	                      0.000000	                      0.215386	                      0.096355	                      0.684849	                      0.970000	                      0.114722	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.470102	                      0.039370	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.737137	                     25.466518	                     22.548178	                      7.577224	                     15.062700	                     77.000000	                    126.000000	                      0.121881	                      0.003241	45.9784N120.1879W	2011-2012	0
2013-03-27	Date omitted	2013-04-02	2013-06-27	Date omitted	2013-07-03	2013-05-30	2013-08-04	2013-08-05	                      3.604606	                      1.466294	                      0.198179	                      0.000000	                      0.000000	                      0.349359	                      0.000000	                   1651.379395	                      0.000000	                      0.790461	                      0.197702	                      0.734409	                      0.420729	                      0.123086	                      0.298915	                      0.074616	                      0.000000	                      0.000000	                      0.000000	                      0.109810	                     14.586888	                      0.014606	                      0.000000	                      0.000000	                      0.000000	                      0.095204	                      0.000000	                      0.183794	                      0.095901	                      0.547538	                      0.970000	                      0.096746	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.472576	                      0.074116	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.448424	                     24.885416	                     21.976770	                      7.118320	                     14.547544	                     86.000000	                    132.000000	                      0.090289	                      0.002716	45.9784N120.1879W	2012-2013	0
2014-04-03	Date omitted	2014-04-13	2014-06-28	Date omitted	2014-07-05	2014-06-14	2014-08-03	2014-08-04	                      2.828140	                      1.493660	                      0.153306	                      0.000000	                      0.000000	                      0.270897	                      0.000000	                   1508.547974	                      0.000000	                      0.773477	                      0.141312	                      0.722481	                      0.379549	                      0.097189	                      0.333935	                      0.044123	                      0.000000	                      0.000000	                      0.000000	                      0.045802	                     15.398112	                      0.005754	                      0.000000	                      0.000000	                      0.000000	                      0.040049	                      0.000000	                      0.190595	                      0.095085	                      0.424203	                      0.970000	                      0.110998	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.554417	                      0.030391	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      0.000000	                      4.364707	                     25.986832	                     21.770571	                      8.872717	                     15.321644	                     76.000000	                    124.000000	                      0.097090	                      0.001646	45.9784N120.1879W	2013-2014	0
